Molecule name,class,dataset,SlogP,SMR,LabuteASA,TPSA,AMW,ExactMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumAmideBonds,NumHeteroAtoms,NumHeavyAtoms,NumAtoms,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,FractionCSP3
Row732,0,test,2.2999,32.4446,86.95253201,54.37,300.098,299.9502689,3,1,3,1,2,0,13,17,18,0,0,0,0,0,0,0,0,0,0,1
Row733,0,test,3.4542,95.86,153.6684455,153.69,408.413,408.0085927,9,3,4,3,7,0,11,27,39,3,3,0,0,0,0,0,3,0,0,0
Row734,1,test,4.7575,76.5837,136.7405308,89.67,361.659,360.9964847,6,1,4,1,4,0,10,24,31,2,2,0,0,0,0,0,2,0,0,0.071428571
Row735,0,test,0.142,7.5815,16.81731315,49.66,47.013,47.00072827,3,1,0,1,2,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0
Row736,0,test,0.7627,35.271,48.74281584,3.24,121.23,121.0019912,1,0,0,1,1,0,3,6,13,0,0,0,0,0,0,0,0,0,0,0.666666667
Row737,1,test,2.5838,103.8213,175.8859213,144.24,430.373,430.1124635,12,1,9,1,11,0,12,31,49,3,3,0,0,2,0,0,1,0,0,0.210526316
Row738,0,test,0.4356,78.2605,143.3424977,121.52,396.303,396.0351397,10,1,4,1,9,1,14,26,37,2,2,0,0,1,0,0,1,0,0,0.25
Row739,0,test,0.287,31.0347,52.34126745,89.62,153.074,153.0190944,5,3,3,2,3,1,6,9,17,0,0,0,0,0,0,0,0,0,0,0.666666667
Row740,0,test,2.748,50.6024,74.76604337,43.14,173.171,173.0476785,3,0,1,0,2,0,3,13,20,2,2,0,0,0,0,0,2,0,0,0
Row741,0,test,0.6879,62.0891,102.2363847,83.66,255.665,255.0523022,7,1,3,1,3,0,8,17,27,2,1,1,1,1,1,1,0,0,0,0.333333333
Row742,0,test,1.0111,14.851,22.60679863,0,94.939,93.9418122,0,0,0,0,0,0,1,2,5,0,0,0,0,0,0,0,0,0,0,1
Row743,1,test,2.4547,30.569,50.34189384,0,252.731,249.7628363,0,0,0,0,0,0,3,4,5,0,0,0,0,0,0,0,0,0,0,1
Row744,0,test,3.2116,41.842,65.16649833,0,235.906,233.8679743,0,0,0,0,0,0,2,8,12,1,1,0,0,0,0,0,1,0,0,0
Row745,1,test,7.9286,98.078,155.693783,0,627.588,621.5413227,0,0,1,0,0,0,6,18,22,2,2,0,0,0,0,0,2,0,0,0
Row746,0,test,8.63724,179.4854,275.4980078,141.78,657.558,656.1705588,10,2,11,2,8,2,12,46,76,4,4,0,0,0,0,0,4,0,0,0.176470588
